,TUCASEID,TULINENO,HRYEAR4,PEAFNOW,PEMLR,PEHRWANT,PESCHENR,PEDWWNTO,TELE2019,TELECOVID,TELENOW,EMPA,EMPB,EMPC,EMPD,EMPSTAT,TELEALL,CORR
258,20190303191674,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
259,20190303191674,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
262,20190303191694,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
263,20190303191694,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
264,20190303191694,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
265,20190303191694,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
266,20190303191707,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
269,20190303191714,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
270,20190303191714,2,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
271,20190303191736,1,2019,2,4,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
272,20190303191736,2,2019,2,1,3,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
273,20190303191736,3,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
276,20190303191787,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
278,20190303191787,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
283,20190303191858,1,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
285,20190303191858,3,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
289,20190303191896,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
291,20190303191913,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
292,20190303191913,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
293,20190303191913,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
294,20190303191913,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
295,20190303191963,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
296,20190303191971,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
297,20190303191971,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
301,20190303191981,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
302,20190303191981,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
303,20190303191981,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
304,20190303191992,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
305,20190303191992,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
306,20190303191992,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
307,20190303191992,4,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
308,20190303191997,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
309,20190303191997,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
311,20190303192016,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
313,20190303192018,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
314,20190303192018,2,2019,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
316,20190303192046,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
317,20190303192046,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
318,20190303192046,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
319,20190303192057,1,2019,2,6,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
320,20190303192057,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
321,20190303192057,3,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
322,20190303192066,1,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
326,20190303192066,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
327,20190303192069,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
329,20190303192119,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
330,20190303192154,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
331,20190303192154,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
333,20190303192154,4,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
334,20190303192165,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
335,20190303192165,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
336,20190303192189,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
337,20190303192189,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
338,20190303192189,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
339,20190303192189,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
340,20190303192194,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
